ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,date_start,impressions,spend,purchases,revenue
120211644023170668,Ex Back H2,120211644023120668,Ex Back,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-28,176,6.1,7,239.7
120210395878850668,Image 6,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-28,7,0.22,0,0.0
120211644023150668,Love H1,120211644023110668,Love,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-28,264,8.16,0,0.0
120210395878760668,Video 1 - 08-24,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-28,2093,35.36,14,479.41
120210646786120668,White,120210646786200668,White,120209660513520668,AuraReveal | Testing Creatives,2024-10-28,4448,103.72,35,1198.52
120211358934070668,Video 1,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-28,7,0.11,0,0.0
120211643373170668,Video 1 - 08-24 - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-28,262,5.49,0,0.0
120211643359390668,Inny wstep,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-28,17,0.6,0,0.0
120211643373130668,Inny wstep - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-28,11,0.56,0,0.0
120211644023180668,Ex Back H1,120211644023120668,Ex Back,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-28,62,2.17,0,0.0
120211643303030668,Video 3,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-28,420,14.58,0,0.0
120211284851030668,Love Magnet,120211284851020668,Love Magnet - Interest-Based,120209660513520668,AuraReveal | Testing Creatives,2024-10-28,812,20.86,0,0.0
120210395878720668,Video 3,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-28,941,23.92,0,0.0
120211643303020668,Video 1 - 08-24,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-28,244,5.5,0,0.0
120210395878900668,Video 1,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-28,4,0.07,0,0.0
120211643302970668,Green,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-28,7,0.25,0,0.0
